gene,gene name,ensembl ID,entrez ID,chromosome,genetic category,gene score,ASD risk group,number of reports,hgnc_symbol
GRID1,"Glutamate receptor, ionotropic, delta 1",ENSG00000182771,2894,10,"Rare Single Gene Mutation, Genetic Association",2,ASD core,7,GRID1
GRID2,"glutamate receptor, ionotropic, delta 2",ENSG00000152208,2895,4,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,ASD core,11,GRID2
GRID2IP,Grid2 interacting protein,ENSG00000215045,392862,7,Rare Single Gene Mutation,2,ASD core,5,GRID2IP
GRIK2,glutamate ionotropic receptor kainate type subunit 2,ENSG00000164418,2898,6,"Rare Single Gene Mutation, Genetic Association",2,ASD core,22,GRIK2
GRIK3,glutamate ionotropic receptor kainate type subunit 3,ENSG00000163873,2899,1,"Rare Single Gene Mutation, Genetic Association",2,ASD core,7,GRIK3
GRIK4,"Glutamate receptor, ionotropic, kainate 4",ENSG00000149403,2900,11,"Rare Single Gene Mutation, Functional",2,ASD core,7,GRIK4
GRIK5,"Glutamate receptor, ionotropic, kainate 5",ENSG00000105737,2901,19,Rare Single Gene Mutation,2,ASD core,10,GRIK5
GRIN1,"Glutamate receptor, ionotropic, N-methyl D-aspartate 1",ENSG00000176884,2902,9,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,25,GRIN1
GRIN2A,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A",ENSG00000183454,2903,16,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,58,GRIN2A
GRIN2B,"glutamate receptor, inotropic, N-methyl D-apartate 2B",ENSG00000273079,2904,12,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,82,GRIN2B
GRIP1,glutamate receptor interacting protein 1,ENSG00000155974,23426,12,Rare Single Gene Mutation,2,ASD core,14,GRIP1
GRK4,G protein-coupled receptor kinase 4,ENSG00000125388,2868,4,"Rare Single Gene Mutation, Functional",2,ASD core,6,GRK4
GRM5,glutamate metabotropic receptor 5,ENSG00000168959,2915,11,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,11,GRM5
GRM7,"Glutamate receptor, metabotropic 7",ENSG00000196277,2917,3,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,18,GRM7
GSTM1,glutathione S-transferase M1,ENSG00000134184,2944,1,Genetic Association,2,ASD core,3,GSTM1
GTF2I,general transcription factor IIi,ENSG00000263001,2969,7,"Rare Single Gene Mutation, Genetic Association",2,ASD core,8,GTF2I
GUCY1A2,guanylate cyclase 1 soluble subunit alpha 2,ENSG00000152402,2977,11,"Rare Single Gene Mutation, Genetic Association",2,ASD core,3,GUCY1A2
H1-4,"H1.4 linker histone, cluster member",ENSG00000168298,3008,6,"Rare Single Gene Mutation, Syndromic",S,ASD associated,10,H1-4
H2BC11,H2B clustered histone 11,ENSG00000124635,8970,6,Rare Single Gene Mutation,2,ASD core,3,H2BC11
H4C11,H4 clustered histone 11,ENSG00000197238,8363,6,"Rare Single Gene Mutation, Syndromic",S,ASD associated,4,H4C11
H4C3,H4 clustered histone 3,ENSG00000197061,8364,6,Syndromic,S,ASD associated,2,H4C3
H4C5,H4 clustered histone 5,ENSG00000276966,8367,6,"Rare Single Gene Mutation, Syndromic",S,ASD associated,6,H4C5
HACE1,HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1,ENSG00000085382,57531,6,"Rare Single Gene Mutation, Syndromic",3,ASD associated,12,HACE1
HCFC1,host cell factor C1,ENSG00000172534,3054,X,"Rare Single Gene Mutation, Syndromic",S,ASD associated,12,HCFC1
HCN1,Hyperpolarization activated cyclic nucleotide-gated potassium channel 1,ENSG00000164588,348980,5,"Rare Single Gene Mutation, Genetic Association",3,ASD associated,14,HCN1
HDAC4,histone deacetylase 4,ENSG00000068024,9759,2,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,ASD core,18,HDAC4
HDAC8,histone deacetylase 8,ENSG00000147099,55869,X,"Rare Single Gene Mutation, Syndromic",S,ASD associated,11,HDAC8
HDLBP,high density lipoprotein binding protein,ENSG00000115677,3069,2,Rare Single Gene Mutation,1,ASD core,6,HDLBP
HECTD4,HECT domain E3 ubiquitin protein ligase 4,ENSG00000173064,283450,12,"Rare Single Gene Mutation, Syndromic",1,ASD core,10,HECTD4
HECW2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",ENSG00000138411,57520,2,"Rare Single Gene Mutation, Syndromic",2,ASD core,17,HECW2
HEPACAM,hepatic and glial cell adhesion molecule,ENSG00000165478,220296,11,"Rare Single Gene Mutation, Syndromic, Functional",S,ASD associated,11,HEPACAM
HERC1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,ENSG00000103657,8925,15,"Rare Single Gene Mutation, Syndromic, Functional",2,ASD core,13,HERC1
HERC2,HECT and RLD domain containing E3 ubiquitin protein ligase 2,ENSG00000128731,8924,15,"Rare Single Gene Mutation, Syndromic",S,ASD associated,10,HERC2
HIVEP2,HIVEP zinc finger 2,ENSG00000010818,3097,6,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,13,HIVEP2
HIVEP3,human immunodeficiency virus type I enhancer binding protein 3,ENSG00000127124,59269,1,"Rare Single Gene Mutation, Genetic Association",2,ASD core,9,HIVEP3
HLA-A,"major histocompatibility complex, class I, A",ENSG00000206503,3105,6,Genetic Association,2,ASD core,10,HLA-A
HLA-B,"Major histocompatibility complex, class I, B",ENSG00000234745,3106,6,Genetic Association,2,ASD core,5,HLA-B
HLA-DPB1,"major histocompatibility complex, class II, DP beta 1",ENSG00000223865,3115,6,"Rare Single Gene Mutation, Genetic Association",2,ASD core,2,HLA-DPB1
HLA-DRB1,"major histocompatibility complex, class II, DR beta 1",ENSG00000196126,3123,6,Genetic Association,2,ASD core,11,HLA-DRB1
HLA-G,"major histocompatibility complex, class I, G",ENSG00000204632,3135,6,Genetic Association,2,ASD core,4,HLA-G
HMGN1,high mobility group nucleosome binding domain 1,ENSG00000205581,3150,21,Genetic Association,2,ASD core,1,HMGN1
HNRNPD,heterogeneous nuclear ribonucleoprotein D,ENSG00000138668,3184,4,"Rare Single Gene Mutation, Syndromic",2,ASD core,5,HNRNPD
HNRNPF,heterogeneous nuclear ribonucleoprotein F,ENSG00000169813,3185,10,Rare Single Gene Mutation,2,ASD core,4,HNRNPF
HNRNPH2,heterogeneous nuclear ribonucleoprotein H2,ENSG00000126945,3188,X,"Rare Single Gene Mutation, Syndromic",1,ASD core,19,HNRNPH2
HNRNPK,heterogeneous nuclear ribonucleoprotein K,ENSG00000165119,3190,9,"Rare Single Gene Mutation, Syndromic",2,ASD core,11,HNRNPK
HNRNPR,heterogeneous nuclear ribonucleoprotein R,ENSG00000125944,10236,1,"Rare Single Gene Mutation, Syndromic, Functional",2,ASD core,7,HNRNPR
HNRNPU,heterogeneous nuclear ribonucleoprotein U,ENSG00000153187,3192,1,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,37,HNRNPU
HNRNPUL2,heterogeneous nuclear ribonucleoprotein U like 2,ENSG00000214753,221092,11,"Rare Single Gene Mutation, Syndromic",2,ASD core,4,HNRNPUL2
HOMER1,Homer homolog 1 (Drosophila),ENSG00000152413,9456,5,"Rare Single Gene Mutation, Functional",2,ASD core,6,HOMER1
HOXA1,homeobox A1,ENSG00000105991,3198,7,"Rare Single Gene Mutation, Syndromic, Genetic Association",S,ASD associated,16,HOXA1
HRAS,v-Ha-ras Harvey rat sarcoma viral oncogene homolog,ENSG00000174775,3265,11,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,ASD core,12,HRAS
HS3ST5,heparan sulfate (glucosamine) 3-O-sulfotransferase 5,ENSG00000249853,222537,6,"Rare Single Gene Mutation, Genetic Association",2,ASD core,8,HS3ST5
HSD11B1,hydroxysteroid (11-beta) dehydrogenase 1,ENSG00000117594,3290,1,"Rare Single Gene Mutation, Syndromic",2,ASD core,9,HSD11B1
HTR1B,5-hydroxytryptamine (serotonin) receptor 1B,ENSG00000135312,3351,6,"Rare Single Gene Mutation, Genetic Association",2,ASD core,6,HTR1B
HTR3A,5-hydroxytryptamine (serotonin) receptor 3A,ENSG00000166736,3359,11,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,9,HTR3A
HTR3C,"5-hydroxytryptamine (serotonin) receptor 3, family member C",ENSG00000178084,170572,3,"Rare Single Gene Mutation, Genetic Association",2,ASD core,8,HTR3C
HUWE1,"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase",ENSG00000086758,10075,X,"Rare Single Gene Mutation, Syndromic",S,ASD associated,25,HUWE1
HYDIN,"HYDIN, axonemal central pair apparatus protein",ENSG00000157423,54768,16,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,HYDIN
ICA1,islet cell autoantigen 1,ENSG00000003147,3382,7,Rare Single Gene Mutation,2,ASD core,10,ICA1
IGF1,insulin like growth factor 1,ENSG00000017427,3479,12,"Rare Single Gene Mutation, Functional",3,ASD associated,8,IGF1
IKZF1,IKAROS family zinc finger 1,ENSG00000185811,10320,7,Rare Single Gene Mutation,3,ASD associated,6,IKZF1
IL1R2,"interleukin 1 receptor, type II",ENSG00000115590,7850,2,Rare Single Gene Mutation,2,ASD core,8,IL1R2
IL1RAPL1,interleukin 1 receptor accessory protein-like 1,ENSG00000169306,11141,X,Rare Single Gene Mutation,2,ASD core,27,IL1RAPL1
IL1RAPL2,interleukin 1 receptor accessory protein-like 2,ENSG00000189108,26280,X,"Rare Single Gene Mutation, Genetic Association",2,ASD core,2,IL1RAPL2
ILF2,Interleukin enhancer binding factor 2,ENSG00000143621,3608,1,Rare Single Gene Mutation,2,ASD core,6,ILF2
IMMP2L,IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae),ENSG00000184903,83943,7,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,17,IMMP2L
INPP1,inositol polyphosphate-1-phosphatase,ENSG00000151689,3628,2,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,INPP1
INTS1,integrator complex subunit 1,ENSG00000164880,26173,7,"Rare Single Gene Mutation, Syndromic",S,ASD associated,9,INTS1
INTS6,Integrator complex subunit 6,ENSG00000102786,26512,13,Rare Single Gene Mutation,2,ASD core,6,INTS6
IQGAP3,IQ motif containing GTPase activating protein 3,ENSG00000183856,128239,1,Rare Single Gene Mutation,2,ASD core,6,IQGAP3
IQSEC2,IQ motif and Sec7 domain 2,ENSG00000124313,23096,X,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,49,IQSEC2
IRF2BPL,Interferon regulatory factor 2 binding protein-like,ENSG00000119669,64207,14,"Rare Single Gene Mutation, Syndromic",1,ASD core,14,IRF2BPL
ITGA8,integrin subunit alpha 8,ENSG00000077943,8516,10,Rare Single Gene Mutation,3,ASD associated,7,ITGA8
ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)",ENSG00000259207,3690,17,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,22,ITGB3
ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",ENSG00000150995,3708,3,Rare Single Gene Mutation,2,ASD core,15,ITPR1
ITSN1,intersectin 1,ENSG00000205726,6453,21,"Rare Single Gene Mutation, Syndromic",2,ASD core,8,ITSN1
JARID2,jumonji and AT-rich interaction domain containing 2,ENSG00000008083,3720,6,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,ASD core,18,JARID2
JMJD1C,jumonji domain containing 1C,ENSG00000171988,221037,10,Rare Single Gene Mutation,2,ASD core,10,JMJD1C
KANK1,KN motif and ankyrin repeat domains 1,ENSG00000107104,23189,9,Rare Single Gene Mutation,2,ASD core,12,KANK1
KANSL1,KAT8 regulatory NSL complex subunit 1,ENSG00000120071,284058,17,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,11,KANSL1
KAT2B,K(lysine) acetyltransferase 2B,ENSG00000114166,8850,3,"Rare Single Gene Mutation, Functional",2,ASD core,8,KAT2B
KAT6A,K(lysine) acetyltransferase 6A,ENSG00000083168,7994,8,"Rare Single Gene Mutation, Syndromic, Functional",2,ASD core,29,KAT6A
KAT6B,lysine acetyltransferase 6B,ENSG00000156650,23522,10,"Rare Single Gene Mutation, Syndromic",3,ASD associated,8,KAT6B
KATNAL1,katanin catalytic subunit A1 like 1,ENSG00000102781,84056,13,"Rare Single Gene Mutation, Functional",2,ASD core,4,KATNAL1
KATNAL2,Katanin p60 subunit A-like 2,ENSG00000167216,83473,18,"Rare Single Gene Mutation, Functional",1,ASD core,15,KATNAL2
KCNA2,potassium voltage-gated channel subfamily A member 2,ENSG00000177301,3737,1,Rare Single Gene Mutation,3,ASD associated,10,KCNA2
KCNB1,potassium voltage-gated channel subfamily B member 1,ENSG00000158445,3745,20,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,ASD core,25,KCNB1
KCNC1,potassium voltage-gated channel subfamily C member 1,ENSG00000129159,3746,11,"Rare Single Gene Mutation, Functional",2,ASD core,9,KCNC1
KCNC2,potassium voltage-gated channel subfamily C member 2,ENSG00000166006,3747,12,Rare Single Gene Mutation,3,ASD associated,12,KCNC2
KCND2,potassium voltage-gated channel subfamily D member 2,ENSG00000184408,3751,7,"Rare Single Gene Mutation, Genetic Association",2,ASD core,9,KCND2
KCND3,potassium voltage-gated channel subfamily D member 3,ENSG00000171385,3752,1,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,ASD core,13,KCND3
KCNH5,potassium voltage-gated channel subfamily H member 5,ENSG00000140015,27133,14,Rare Single Gene Mutation,3,ASD associated,4,KCNH5
KCNJ10,potassium voltage-gated channel subfamily J member 10,ENSG00000177807,3766,1,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,ASD core,12,KCNJ10
KCNJ15,potassium voltage-gated channel subfamily J member 15,ENSG00000157551,3772,21,Rare Single Gene Mutation,2,ASD core,3,KCNJ15
KCNK7,potassium two pore domain channel subfamily K member 7,ENSG00000173338,10089,11,Rare Single Gene Mutation,2,ASD core,3,KCNK7
KCNMA1,"potassium large conductance calcium-activated channel, subfamily M, alpha member 1",ENSG00000156113,3778,10,"Rare Single Gene Mutation, Syndromic",2,ASD core,29,KCNMA1
KCNQ2,potassium voltage-gated channel subfamily Q member 2,ENSG00000075043,3785,20,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,ASD core,51,KCNQ2
KCNQ3,potassium voltage-gated channel subfamily Q member 3,ENSG00000184156,3786,8,"Rare Single Gene Mutation, Genetic Association, Functional",1,ASD core,20,KCNQ3
KCNS3,potassium voltage-gated channel modifier subfamily S member 3,ENSG00000170745,3790,2,Rare Single Gene Mutation,2,ASD core,6,KCNS3
KCTD13,Potassium channel tetramerisation domain containing 13,ENSG00000174943,253980,16,"Rare Single Gene Mutation, Functional",2,ASD core,9,KCTD13
KDM1B,lysine demethylase 1B,ENSG00000165097,221656,6,Rare Single Gene Mutation,2,ASD core,3,KDM1B
KDM2A,lysine demethylase 2A,ENSG00000173120,22992,11,Rare Single Gene Mutation,3,ASD associated,8,KDM2A
KDM2B,lysine demethylase 2B,ENSG00000089094,84678,12,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,9,KDM2B
KDM3A,lysine demethylase 3A,ENSG00000115548,55818,2,Rare Single Gene Mutation,3,ASD associated,4,KDM3A
KDM3B,lysine demethylase 3B,ENSG00000120733,51780,5,"Rare Single Gene Mutation, Syndromic",1,ASD core,3,KDM3B
KDM4B,lysine demethylase 4B,ENSG00000127663,23030,19,"Rare Single Gene Mutation, Syndromic, Functional",2,ASD core,6,KDM4B
KDM4C,lysine demethylase 4C,ENSG00000107077,23081,9,Rare Single Gene Mutation,2,ASD core,4,KDM4C
KDM5A,lysine demethylase 5A,ENSG00000073614,5927,12,Rare Single Gene Mutation,2,ASD core,4,KDM5A
KDM5B,Lysine (K)-specific demethylase 5B,ENSG00000117139,10765,1,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,22,KDM5B
KDM5C,lysine demethylase 5C,ENSG00000126012,8242,X,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,38,KDM5C
KDM6A,lysine demethylase 6A,ENSG00000147050,7403,X,"Rare Single Gene Mutation, Syndromic",2,ASD core,14,KDM6A
KDM6B,Lysine (K)-specific demethylase 6B,ENSG00000132510,23135,17,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,21,KDM6B
KHDRBS2,"KH domain containing, RNA binding, signal transduction associated 2",ENSG00000112232,202559,6,Rare Single Gene Mutation,2,ASD core,4,KHDRBS2
KIAA0232,KIAA0232,ENSG00000170871,9778,4,Rare Single Gene Mutation,1,ASD core,4,KIAA0232
KIAA1586,KIAA1586,ENSG00000168116,57691,6,Rare Single Gene Mutation,2,ASD core,6,KIAA1586
KIF13B,Kinesin family member 13B,ENSG00000197892,23303,8,Rare Single Gene Mutation,2,ASD core,4,KIF13B
KIF14,kinesin family member 14,ENSG00000118193,9928,1,"Rare Single Gene Mutation, Syndromic",2,ASD core,6,KIF14
KIF1A,kinesin family member 1A,ENSG00000130294,547,2,"Rare Single Gene Mutation, Syndromic",2,ASD core,13,KIF1A
KIF5C,Kinesin family member 5C,ENSG00000168280,3800,2,"Rare Single Gene Mutation, Syndromic, Functional",2,ASD core,14,KIF5C
KIRREL3,Kin of IRRE like 3 (Drosophila),ENSG00000149571,84623,11,Rare Single Gene Mutation,2,ASD core,19,KIRREL3
KIZ,kizuna centrosomal protein,ENSG00000088970,55857,20,"Genetic Association, Functional",3,ASD associated,2,KIZ
KLF16,Kruppel like factor 16,ENSG00000129911,83855,19,Rare Single Gene Mutation,2,ASD core,1,KLF16
KLF7,Kruppel like factor 7,ENSG00000118263,8609,2,"Rare Single Gene Mutation, Functional",3,ASD associated,14,KLF7
KLHL20,kelch like family member 20,ENSG00000076321,27252,1,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,4,KLHL20
KMT2A,Lysine (K)-specific methyltransferase 2A,ENSG00000118058,4297,11,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,46,KMT2A
KMT2C,Lysine (K)-specific methyltransferase 2C,ENSG00000055609,58508,7,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,34,KMT2C
KMT2E,Lysine (K)-specific methyltransferase 2E,ENSG00000005483,55904,7,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,18,KMT2E
KMT5B,lysine methyltransferase 5B,ENSG00000110066,51111,11,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,26,KMT5B
KNG1,kininogen 1,ENSG00000113889,3827,3,Rare Single Gene Mutation,3,ASD associated,2,KNG1
KPTN,"kaptin, actin binding protein",ENSG00000118162,11133,19,"Rare Single Gene Mutation, Syndromic, Functional",S,ASD associated,9,KPTN
KRR1,"KRR1, small subunit (SSU) processome component, homolog (yeast)",ENSG00000111615,11103,12,"Rare Single Gene Mutation, Genetic Association",2,ASD core,3,KRR1
KRT26,keratin 26,ENSG00000186393,353288,17,Rare Single Gene Mutation,2,ASD core,4,KRT26
LAMA1,"Laminin, alpha 1",ENSG00000101680,284217,18,"Rare Single Gene Mutation, Genetic Association",2,ASD core,11,LAMA1
LAMB1,"laminin, beta 1",ENSG00000091136,3912,7,"Rare Single Gene Mutation, Genetic Association",2,ASD core,11,LAMB1
LAS1L,LAS1 like ribosome biogenesis factor,ENSG00000001497,81887,X,"Rare Single Gene Mutation, Syndromic",3,ASD associated,5,LAS1L
LDB1,LIM domain binding 1,ENSG00000198728,8861,10,Rare Single Gene Mutation,1,ASD core,3,LDB1
LDLR,low density lipoprotein receptor,ENSG00000130164,3949,19,Rare Single Gene Mutation,3,ASD associated,3,LDLR
LEMD3,LEM domain containing 3,ENSG00000174106,23592,12,Rare Single Gene Mutation,2,ASD core,3,LEMD3
LEO1,"LEO1 homolog, Paf1/RNA polymerase II complex component",ENSG00000166477,123169,15,Rare Single Gene Mutation,2,ASD core,4,LEO1
LEP,Leptin,ENSG00000174697,3952,7,Rare Single Gene Mutation,2,ASD core,1,LEP
LHX2,LIM homeobox 2,ENSG00000106689,9355,9,"Rare Single Gene Mutation, Syndromic",2,ASD core,4,LHX2
LILRB2,leukocyte immunoglobulin like receptor B2,ENSG00000131042,10288,19,Rare Single Gene Mutation,2,ASD core,3,LILRB2
LIN7B,"lin-7 homolog B, crumbs cell polarity complex component",ENSG00000104863,64130,19,Rare Single Gene Mutation,2,ASD core,3,LIN7B
LMTK3,lemur tyrosine kinase 3,ENSG00000142235,114783,19,"Rare Single Gene Mutation, Functional",3,ASD associated,6,LMTK3
LNPK,"lunapark, ER junction formation factor",ENSG00000144320,80856,2,"Rare Single Gene Mutation, Syndromic",S,ASD associated,2,LNPK
LRBA,"LPS-responsive vesicle trafficking, beach and anchor containing",ENSG00000198589,987,4,Rare Single Gene Mutation,2,ASD core,9,LRBA
LRFN2,leucine rich repeat and fibronectin type III domain containing 2,ENSG00000156564,57497,6,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,6,LRFN2
LRFN5,leucine rich repeat and fibronectin type III domain containing 5,ENSG00000165379,145581,14,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,7,LRFN5
LRP1,LDL receptor related protein 1,ENSG00000123384,4035,12,Rare Single Gene Mutation,2,ASD core,10,LRP1
LRP2,LDL receptor related protein 2,ENSG00000081479,4036,2,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,ASD core,18,LRP2
LRRC1,leucine rich repeat containing 1,ENSG00000137269,55227,6,"Rare Single Gene Mutation, Genetic Association",2,ASD core,7,LRRC1
LRRC4,leucine rich repeat containing 4,ENSG00000128594,64101,7,"Rare Single Gene Mutation, Functional",2,ASD core,5,LRRC4
LRRC4C,leucine rich repeat containing 4C,ENSG00000148948,57689,11,Rare Single Gene Mutation,1,ASD core,2,LRRC4C
LZTR1,Leucine-zipper-like transcription regulator 1,ENSG00000099949,8216,22,"Rare Single Gene Mutation, Syndromic",1,ASD core,18,LZTR1
MACF1,microtubule actin crosslinking factor 1,ENSG00000127603,23499,1,"Rare Single Gene Mutation, Syndromic, Functional",3,ASD associated,9,MACF1
MACROD2,MACRO domain containing 2,ENSG00000172264,140733,20,"Rare Single Gene Mutation, Genetic Association",2,ASD core,22,MACROD2
MAGEL2,MAGE-like 2,ENSG00000254585,54551,15,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,24,MAGEL2
MAOA,monoamine oxidase A,ENSG00000189221,4128,X,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,ASD core,20,MAOA
MAOB,monoamine oxidase B,ENSG00000069535,4129,X,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,ASD core,6,MAOB
MAP1A,microtubule associated protein 1A,ENSG00000166963,4130,15,Rare Single Gene Mutation,1,ASD core,4,MAP1A
MAP1B,microtubule associated protein 1B,ENSG00000131711,4131,5,"Rare Single Gene Mutation, Syndromic, Functional",2,ASD core,13,MAP1B
MAP4K1,mitogen-activated protein kinase kinase kinase kinase 1,ENSG00000104814,11184,19,Rare Single Gene Mutation,3,ASD associated,5,MAP4K1
MAP4K4,mitogen-activated protein kinase kinase kinase kinase 4,ENSG00000071054,9448,2,"Rare Single Gene Mutation, Syndromic",2,ASD core,2,MAP4K4
MAPK3,mitogen-activated protein kinase 3,ENSG00000102882,5595,16,"Rare Single Gene Mutation, Functional",2,ASD core,6,MAPK3
MAPK8IP1,mitogen-activated protein kinase 8 interacting protein 1,ENSG00000121653,9479,11,Rare Single Gene Mutation,3,ASD associated,4,MAPK8IP1
MAPT,microtubule associated protein tau,ENSG00000186868,4137,17,"Rare Single Gene Mutation, Genetic Association, Functional",3,ASD associated,4,MAPT
MARK1,microtubule affinity regulating kinase 1,ENSG00000116141,4139,1,"Rare Single Gene Mutation, Genetic Association",2,ASD core,12,MARK1
MARK2,microtubule affinity regulating kinase 2,ENSG00000072518,2011,11,Rare Single Gene Mutation,2,ASD core,5,MARK2
MAST3,microtubule associated serine/threonine kinase 3,ENSG00000099308,23031,19,"Rare Single Gene Mutation, Functional",3,ASD associated,7,MAST3
MBD1,methyl-CpG binding domain protein 1,ENSG00000141644,4152,18,Rare Single Gene Mutation,2,ASD core,9,MBD1
MBD3,methyl-CpG binding domain protein 3,ENSG00000071655,53615,19,Rare Single Gene Mutation,2,ASD core,4,MBD3
MBD4,methyl-CpG binding domain protein 4,ENSG00000129071,8930,3,Rare Single Gene Mutation,2,ASD core,7,MBD4
MBD5,Methyl-CpG binding domain protein 5,ENSG00000204406,55777,2,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,43,MBD5
MBD6,Methyl-CpG binding domain protein 6,ENSG00000166987,114785,12,Rare Single Gene Mutation,2,ASD core,3,MBD6
MBOAT7,membrane bound O-acyltransferase domain containing 7,ENSG00000125505,79143,19,"Rare Single Gene Mutation, Syndromic",1,ASD core,17,MBOAT7
MCM4,minichromosome maintenance complex component 4,ENSG00000104738,4173,8,Rare Single Gene Mutation,2,ASD core,4,MCM4
MCM6,minichromosome maintenance complex component 6,ENSG00000076003,4175,2,"Rare Single Gene Mutation, Syndromic",2,ASD core,4,MCM6
MCPH1,microcephalin 1,ENSG00000147316,79648,8,Rare Single Gene Mutation,2,ASD core,19,MCPH1
MDGA2,MAM domain containing glycosylphosphatidylinositol anchor 2,ENSG00000139915,161357,14,"Rare Single Gene Mutation, Genetic Association",2,ASD core,9,MDGA2
MECP2,Methyl CpG binding protein 2,ENSG00000169057,4204,X,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,119,MECP2
LMX1B,LIM homeobox transcription factor 1 beta,ENSG00000136944,4010,9,Genetic Association,2,ASD core,1,LMX1B
LZTS2,"leucine zipper, putative tumor suppressor 2",ENSG00000107816,84445,10,Genetic Association,2,ASD core,4,LZTS2
MED12L,mediator complex subunit 12L,ENSG00000144893,116931,3,"Rare Single Gene Mutation, Syndromic",2,ASD core,6,MED12L
MED13,mediator complex subunit 13,ENSG00000108510,9969,17,"Rare Single Gene Mutation, Syndromic",1,ASD core,11,MED13
MED13L,Mediator complex subunit 13-like,ENSG00000123066,23389,12,"Rare Single Gene Mutation, Syndromic",1,ASD core,52,MED13L
MED23,mediator complex subunit 23,ENSG00000112282,9439,6,"Rare Single Gene Mutation, Functional",2,ASD core,4,MED23
MEF2C,myocyte enhancer factor 2C,ENSG00000081189,4208,5,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,48,MEF2C
MEGF10,multiple EGF like domains 10,ENSG00000145794,84466,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,8,MEGF10
MEGF11,multiple EGF like domains 11,ENSG00000157890,84465,15,Rare Single Gene Mutation,2,ASD core,8,MEGF11
MEIS2,Meis homeobox 2,ENSG00000134138,4212,15,"Rare Single Gene Mutation, Syndromic",1,ASD core,12,MEIS2
MEMO1,mediator of cell motility 1,ENSG00000162959,51072,2,"Rare Single Gene Mutation, Functional",2,ASD core,2,MEMO1
METTL26,methyltransferase like 26,ENSG00000130731,84326,16,Rare Single Gene Mutation,2,ASD core,2,METTL26
MFRP,Membrane frizzled-related protein,ENSG00000235718,83552,11,Rare Single Gene Mutation,2,ASD core,8,MFRP
MIB1,Mindbomb E3 ubiquitin protein ligase 1,ENSG00000101752,57534,18,Rare Single Gene Mutation,2,ASD core,10,MIB1
MINK1,misshapen like kinase 1,ENSG00000141503,50488,17,Rare Single Gene Mutation,3,ASD associated,8,MINK1
MKX,mohawk homeobox,ENSG00000150051,283078,10,Rare Single Gene Mutation,1,ASD core,3,MKX
MLANA,melan-A,ENSG00000120215,2315,9,Rare Single Gene Mutation,2,ASD core,4,MLANA
MNT,MAX network transcriptional repressor,ENSG00000070444,4335,17,Genetic Association,2,ASD core,1,MNT
